Gender,AgeClass,Event,WeightClass,AnnualImprovement
M,20-23,B,70.4,24.0
M,18-19,B,67.07,-1.0
M,24-34,B,71.0,4.333333333333333
M,24-34,B,71.5,
M,24-34,B,71.25,
M,24-34,B,70.38,2.0
M,24-34,B,67.7,-1.0
M,24-34,B,64.4,1.0
M,20-23,B,66.85,-7.0
M,24-34,B,58.25,12.0
M,40-44,B,71.05,-5.0
M,24-34,B,65.6,3.3333333333333335
M,24-34,B,74.5,5.0
M,24-34,B,66.2,8.75
M,35-39,B,70.95,-14.0
M,35-39,B,71.2,-14.0
M,35-39,B,70.55,-2.0
M,35-39,B,71.55,
M,40-44,B,78.95,
M,40-44,B,70.5,4.285714285714286
M,24-34,B,58.29,
M,35-39,B,68.56,
M,40-44,B,82.6,
M,40-44,B,71.05,5.0
M,40-44,B,75.0,-8.8
M,45-49,B,84.65,0.32142857142857145
M,24-34,B,57.7,0.32142857142857145
M,45-49,B,84.65,-3.1
M,35-39,B,65.4,-0.0
M,35-39,B,66.43,0.5
M,40-44,B,72.89,2.5
M,35-39,B,68.28,5.0
M,35-39,B,59.15,
M,40-44,B,82.05,
M,40-44,B,79.07,-3.5
M,40-44,B,83.91,1.3333333333333333
M,24-34,B,79.77,
M,24-34,B,76.78,
M,40-44,B,78.07,-1.3571428571428572
M,,B,74.26,-4.583333333333333
M,40-44,B,71.91,-1.4583333333333333
M,24-34,B,67.0,-0.15625
M,45-49,B,77.8,-6.0
M,,B,79.09,1.4
M,40-44,B,73.3,5.0
M,40-44,B,81.91,-1.25
M,,B,78.6,-1.5
M,45-49,B,78.1,-8.0
M,,B,86.24,2.0
M,40-44,B,79.15,-5.0
M,45-49,B,76.19,1.0
M,50-54,B,77.59,2.142857142857143
M,45-49,B,77.58,
M,50-54,B,78.6,
M,50-54,B,78.65,-0.4
M,45-49,B,80.5,3.0
M,45-49,B,77.87,2.8
M,50-54,B,78.95,2.5
M,50-54,B,78.31,3.5
M,50-54,B,79.19,-1.3333333333333333
M,24-34,B,79.14,-3.3333333333333335
M,35-39,B,70.8,-4.333333333333333
M,24-34,B,81.6,-0.0
M,35-39,B,77.95,-1.25
M,24-34,B,78.61,-10.0
M,24-34,B,82.53,-0.0
M,24-34,B,84.15,-6.0
M,24-34,B,84.8,6.666666666666667
M,24-34,B,78.55,10.0
M,24-34,B,81.6,-2.5
M,24-34,B,85.1,
M,24-34,B,79.35,
M,35-39,B,81.75,
M,35-39,B,89.1,3.0
M,20-23,B,86.24,-3.0
M,18-19,B,92.41,2.0
M,20-23,B,95.3,3.0
M,18-19,B,85.9,-2.0
M,20-23,B,86.35,1.0
M,18-19,B,93.3,3.6666666666666665
M,20-23,B,87.2,2.0
M,18-19,B,100.0,3.3333333333333335
M,24-34,B,96.05,4.333333333333333
M,20-23,B,87.1,2.6666666666666665
M,40-44,B,85.04,4.0
M,45-49,B,85.3,12.333333333333334
M,40-44,B,85.9,35.0
M,40-44,B,86.58,4.0
M,35-39,B,79.4,1.0
M,40-44,B,86.05,
M,45-49,B,85.25,
M,45-49,B,85.93,-13.5
M,24-34,B,87.16,-4.0
M,24-34,B,86.88,1.8571428571428572
M,,B,106.05,
M,24-34,B,102.8,
M,24-34,B,86.8,5.5
M,24-34,B,102.78,4.625
M,20-23,B,80.7,
M,,B,87.54,
M,,B,84.1,3.611111111111111
M,24-34,B,103.75,4.0
M,,B,96.34,6.5
M,24-34,B,105.79,
M,24-34,B,103.84,
M,24-34,B,102.3,-17.5
M,24-34,B,109.61,-12.5
M,35-39,B,102.8,
M,24-34,B,106.82,
M,35-39,B,105.8,0.0
M,40-44,B,88.0,
M,24-34,B,85.85,
M,24-34,B,86.86,
M,24-34,B,93.5,5.666666666666667
M,24-34,B,87.65,0.0
M,20-23,B,74.4,5.5
M,24-34,B,86.9,-0.0
M,24-34,B,89.58,-1.5
M,24-34,B,87.8,3.0833333333333335
M,24-34,B,73.4,2.3125
M,24-34,B,93.31,6.0
M,24-34,B,92.1,-0.5714285714285714
M,24-34,B,87.85,
M,24-34,B,96.18,10.0
M,24-34,B,93.82,4.25
M,35-39,B,94.0,2.3333333333333335
M,24-34,B,96.65,18.0
M,24-34,B,92.51,9.666666666666666
M,35-39,B,96.55,-3.0
M,35-39,B,95.5,0.6666666666666666
M,24-34,B,93.85,-0.0
M,18-19,B,96.08,6.833333333333333
M,24-34,B,103.37,-0.5
M,20-23,B,103.91,8.5
M,18-19,B,96.4,22.0
M,20-23,B,103.5,15.333333333333334
M,16-17,B,96.4,5.5
M,20-23,B,98.33,10.25
M,20-23,B,105.5,9.4
M,18-19,B,96.66,15.0
M,16-17,B,91.55,14.666666666666666
M,18-19,B,96.5,12.0
M,16-17,B,88.1,11.5
M,20-23,B,105.2,10.0
M,20-23,B,105.82,11.0
M,24-34,B,95.55,
M,35-39,B,104.31,
M,24-34,B,87.02,3.0
M,24-34,B,102.7,3.6666666666666665
M,24-34,B,95.15,8.0
M,24-34,B,96.41,-2.8
M,35-39,B,102.0,2.3333333333333335
M,20-23,B,91.2,8.0
M,24-34,B,88.8,-0.0
M,24-34,B,101.1,1.4285714285714286
M,24-34,B,83.8,1.7777777777777777
M,35-39,B,103.2,-5.0
M,24-34,B,104.51,-4.0
M,35-39,B,104.97,-0.4
M,24-34,B,96.0,4.333333333333333
M,35-39,B,93.0,17.0
M,35-39,B,91.49,10.75
M,40-44,B,94.7,7.666666666666667
M,35-39,B,93.4,
M,40-44,B,95.74,
M,40-44,B,95.95,
M,35-39,B,90.75,
